token name --> keyword  | token value -->  boolean
token name --> keyword  | token value -->  int
token name --> keyword  | token value -->  float
token name --> keyword  | token value -->  if
token name --> keyword  | token value -->  else
token name --> keyword  | token value -->  while
token name --> punc  | token value -->  ;
token name --> punc  | token value -->  ,
token name --> punc  | token value -->  (
token name --> punc  | token value -->  )
token name --> punc  | token value -->  {
token name --> punc  | token value -->  }
token name --> id  | token value -->  sum
token name --> id  | token value -->  count
token name --> id  | token value -->  pass
token name --> id  | token value -->  mnt
token name --> relop  | token value -->  !=
token name --> num  | token value -->  10
token name --> assign  | token value -->  =
token name --> addop  | token value -->  +
token name --> num  | token value -->  1
